variable.matsuri_food_f.1	축제 첫 번째의 요리 상인의 상점 생성에 성공했습니다.
variable.matsuri_food_f.2	[0]축제 요리
variable.matsuri_food_f.3	축제 첫 번째의 요리 상인의 상점 생성에 실패했습니다.
variable.matsuri_food_f.4	여러가지 요리와 함께 축제를 즐겨 주세요|에린의 축제는 정말로 특별합니다|라라라~즐거운 축제!
variable.matsuri_food_f.5	[0]축제 요리
variable.matsuri_food_f.6	(말이 통하지 않는 것 같다.)
variable.matsuri_food_f.7	계세요. 어떤 요리를 요구입니까? <br/><button title='거래' keyword='@shop'/>
variable.matsuri_food_f.8	응~, 나에게는 잘 모르는 이야기군요~. <br/><button title='거래' keyword='@shop'/><button title='종료' keyword='@end'/>
variable.matsuri_food_f.9	축제에는 절대로 빠뜨릴 수 없는<br/>맛있는 요리만을 팔고 있습니다. <br/>전부 나의 손수만들기이랍니다~. <br/>
variable.matsuri_food_f.10	, 좋아할 뿐 선택해 주세요~. <br/>축제의 즐거움을 맛봐 주세요!
variable.matsuri_food_f.11	또 와 주세요!!
variable.matsuri_food_f.12	우와~, 정말로 나에게 주십니까? <br/>감사합니다!
variable.matsuri_food_m.1	축제 첫 번째의 요리 상인의 상점 생성에 성공했습니다.
variable.matsuri_food_m.2	[0]축제 요리
variable.matsuri_food_m.3	축제 첫 번째의 요리 상인의 상점 생성에 실패했습니다.
variable.matsuri_food_m.4	여러가지 요리와 함께 축제를 즐겨 주세요|에린의 축제는 정말로 특별합니다|라라라~즐거운 축제!
variable.matsuri_food_m.5	[0]축제 요리
variable.matsuri_food_m.6	(말이 통하지 않는 것 같다.)
variable.matsuri_food_m.7	계세요. 어떤 요리를 요구입니까? <br/><button title='거래' keyword='@shop'/>
variable.matsuri_food_m.8	응~, 나에게는 잘 모르는 이야기군요~. <br/><button title='거래' keyword='@shop'/><button title='종료' keyword='@end'/>
variable.matsuri_food_m.9	축제에는 절대로 빠뜨릴 수 없는<br/>맛있는 요리만을 팔고 있습니다. <br/>전부 나의 손수만들기이랍니다~. <br/>
variable.matsuri_food_m.10	, 좋아할 뿐 선택해 주세요~. <br/>축제의 즐거움을 맛봐 주세요!
variable.matsuri_food_m.11	또 와 주세요!!
variable.matsuri_food_m.12	우와~, 정말로 나에게 주십니까? <br/>감사합니다!
variable.matsuri_game_f.1	축제 첫 번째의 요리 상인의 상점 생성에 성공했습니다.
variable.matsuri_game_f.2	[0]축제 요리
variable.matsuri_game_f.3	축제 첫 번째의 요리 상인의 상점 생성에 실패했습니다.
variable.matsuri_game_f.4	여러가지 요리와 함께 축제를 즐겨 주세요|에린의 축제는 정말로 특별합니다|라라라~즐거운 축제!
variable.matsuri_game_f.5	[0]축제 요리
variable.matsuri_game_f.6	(말이 통하지 않는 것 같다.)
variable.matsuri_game_f.7	계세요. 어떤 요리를 요구입니까? <br/><button title='거래' keyword='@shop'/>
variable.matsuri_game_f.8	응~, 나에게는 잘 모르는 이야기군요~. <br/><button title='거래' keyword='@shop'/><button title='종료' keyword='@end'/>
variable.matsuri_game_f.9	축제에는 절대로 빠뜨릴 수 없는<br/>맛있는 요리만을 팔고 있습니다. <br/>전부 나의 손수만들기이랍니다~. <br/>
variable.matsuri_game_f.10	, 좋아할 뿐 선택해 주세요~. <br/>축제의 즐거움을 맛봐 주세요!
variable.matsuri_game_f.11	또 와 주세요!!
variable.matsuri_game_f.12	우와~, 정말로 나에게 주십니까? <br/>감사합니다!
variable.matsuri_game_m.1	축제 첫 번째의 요리 상인의 상점 생성에 성공했습니다.
variable.matsuri_game_m.2	[0]축제 요리
variable.matsuri_game_m.3	축제 첫 번째의 요리 상인의 상점 생성에 실패했습니다.
variable.matsuri_game_m.4	여러가지 요리와 함께 축제를 즐겨 주세요|에린의 축제는 정말로 특별합니다|라라라~즐거운 축제!
variable.matsuri_game_m.5	[0]축제 요리
variable.matsuri_game_m.6	(말이 통하지 않는 것 같다.)
variable.matsuri_game_m.7	계세요. 어떤 요리를 요구입니까? <br/><button title='거래' keyword='@shop'/>
variable.matsuri_game_m.8	응~, 나에게는 잘 모르는 이야기군요~. <br/><button title='거래' keyword='@shop'/><button title='종료' keyword='@end'/>
variable.matsuri_game_m.9	축제에는 절대로 빠뜨릴 수 없는<br/>맛있는 요리만을 팔고 있습니다. <br/>전부 나의 손수만들기이랍니다~. <br/>
variable.matsuri_game_m.10	, 좋아할 뿐 선택해 주세요~. <br/>축제의 즐거움을 맛봐 주세요!
variable.matsuri_game_m.11	또 와 주세요!!
variable.matsuri_game_m.12	우와~, 정말로 나에게 주십니까? <br/>감사합니다!
variable.may.1	메이가 등장했습니다.
variable.may.2	메이의 노천 노점은 실패했습니다.
variable.may.3	[0]야외 공기 마구간
variable.may.4	메이의 노천 노점은 실패했습니다.
variable.may.5	깜박이는 고양이 얼굴 앞에서 빨리 달려 들었다. 기념품 선물을받을 수 있습니까? | 음 ~ 제발, 바쁘다. 시간이 없다. | 전화 ~ 이제 마침내 잠시 휴식을 취할 수 있습니다 ... | 열기구 풍선 다채로운 ~ | 10 개의 열기구 이벤트 기념품 컬렉션은 솜사탕으로 바꿀 수 있습니다 ~ | 미니 열기구는 미니 열기구를 들어 올리는 데 사용됩니다 뜨거운 공기 풍선 기념관을 줄 것입니다 ~ | 불행히도, 진한 파란색 면화 캔디의 수는 제한적이며 제한된 공급품입니다.
variable.may.6	[0]야외 공기 마구간
variable.may.7	이것은 ... 애완 동물에게 선물을 줄 수는 없습니다.
variable.may.8	환영합니다! 내 이름은 메이 야. 열기구 활동 중에는 야외 활동을 관리했습니다. <p/>이제 나는 혼자이고 인력이 충분하지 않습니다. 나는 그것에 대해 생각 해본 적이 없기 때문에 많은 사람들이 모였다. 울부 짖는 ~ 바쁜 거의 붕괴. <p/>행사 기간 중에는 장난감 및 기타 물건이 팔렸으므로 자유롭게 살펴보십시오. <p/>또한 기념품 티켓은 임무가 완료된 후 미니 열기구가 성공적으로 들어올 때 얻을 수 있습니다. <p/>10 장의 기념품 쿠폰을 모으면 마시맬로로 전환하는 데 도움이됩니다.
variable.may.9	와우! 총 10 점의 기념품을 실제로 모았습니다! 너를 위해서! 이것은 솜사탕입니다 ~
variable.may.10	뜨거운 공기 풍선 기념 증서가 있습니다. 10 장의 기념품 쿠폰을 모으고 마시멜로 변환 할 수 있도록 ~
variable.may.11	미니 열기구가 성공적으로 비워지고 이벤트에 더 많은 색상이 추가되면 열기구 기념 바우처가 주어집니다. 10 장의 기념품 쿠폰 수집, 솜사탕으로 변환 가능 ~
variable.may.12	현재의 모든 판매 수익은 Iliya Adventure Fund 매장량에 사용됩니다. 나는 많은 사람들이 많은 도움을 많이 빕니다. <button title='거래' keyword='@shop'/><button title='대화 끝' keyword='@end'/>
variable.may.13	열기구 이벤트 중에는 여기에서 소품을 사용하고 근처의 친구들과 게임을하는 것이 항상 즐겁습니다.
variable.may.14	[0]야외 공기 마구간
variable.may.15	와 ~ ~ 내놔? 정말 고마워요! [? 남자 : 미남 / 미국 자매].
variable.monkey.1	원숭이가 나타났다.
variable.monkey.2	매콤한 두부는 ... ... 공 바오 치킨 우 하! 감미롭고 신 돼지 갈비는 우 ~! 우 ~!
variable.monkey.3	(언어가 비합리적으로 보인다)
variable.monkey.4	내가 먹고 싶은 음식이 있니? 네가 나에게 매운 두부, 쿵 파오 닭고기, 달고 신 돼지 갈비를 주면, 나는 너에게 적절한 선물을 줄 것이다.
variable.monkey.5	매콤한 두부 매운맛은 확실히 일류!
variable.monkey.6	쿵 파오 치킨의 기원을 알고 있습니까? 음식에 대한 이야기를 아는 것이 또 다른 좋은 일이기 때문에 그것에 대해 아는 것은 나쁘지 않습니다.
variable.monkey.7	노인들은 새콤한 돼지 갈비를 먹기를 좋아합니다.
variable.monkey.8	위가 조금 배가 고팠다 ...
variable.monkey.9	<npcportrait name='NONE'/><title name='NONE'/>미식가 원숭이와의 대화가 끝났습니다.
variable.monkey.10	매운 맛이 코를 자극합니다. 이게 당신이 저에게 준 매운 두부 선물이에요.
variable.monkey.11	미식가 원숭이 선물을 준 후
variable.monkey.12	소품을 구하십시오.
variable.monkey.13	미식가 원숭이 선물을 준 후
variable.monkey.14	소품을 구하십시오.
variable.monkey.15	미식가 원숭이 선물을 준 후
variable.monkey.16	소품을 구하십시오.
variable.monkey.17	너 정말로 나 한테 가져 왔어! 이건 쿵포 닭 한테 준 선물이야.
variable.monkey.18	미식가 원숭이 선물을 준 후
variable.monkey.19	소품을 구하십시오.
variable.monkey.20	미식가 원숭이 선물을 준 후
variable.monkey.21	소품을 구하십시오.
variable.monkey.22	미식가 원숭이 선물을 준 후
variable.monkey.23	소품을 구하십시오.
variable.monkey.24	내가 원하는 건 이것이야! 이것은 감미롭고 신랄한 돼지 갈비에 당신의 반환, 그것을 받아 들인다.
variable.monkey.25	미식가 원숭이 선물을 준 후
variable.monkey.26	소품을 구하십시오.
variable.monkey.27	미식가 원숭이 선물을 준 후
variable.monkey.28	소품을 구하십시오.
variable.monkey.29	미식가 원숭이 선물을 준 후
variable.monkey.30	소품을 구하십시오.
variable.monkey.31	이건 내가 원하는 선물이 아니야! 그러나, 그것은 당신의 친절이기 때문에, 나는 그것을 받아 들일 것입니다. 기분이 나쁘지 않은 선물을받을 수있을 필요가 없습니다!
variable.moonbear.1	월의 세계의 곰이 로그인했습니다.
variable.moonbear.2	(말이 통하지 않는 것 같다.)
variable.moonbear.3	시소로 여기까지 온다니 간단한 일이 아니다. <br/>특히 나같이 덩치가 크면 쓸데없게…
variable.moongirl.1	여기예요! 코코! |여러분, 달구경 즐기고 있습니까~? |어서 오십시오~
variable.moongirl.2	(말이 통하지 않는 것 같다.)
variable.moongirl.3	<npcportrait name='NONE'/><title name='NONE'/>염이 있는 둥근 얼굴,<br/>바람으로 조금 머리카락이 흐트러진 여자 아이는<br/>언제라도 속이 빤한 웃는 얼굴로 말을 건다. <button title='계속한다' keyword='@continue'/>
variable.moongirl.4	여기는 정말로 이상하겠지? <br/>저런 동물 끊어 처음 보았어요~. <br/><username/>씨도 즐겨 가 주세요! <p/>그렇지만 언제까지나 여기에 있을 수 없겠지요. <br/>내가 티르코네일에 보내 주기 때문에,<br/>돌아갈 때는 나에게 말해 주세요! <button title='돌아가지 않는다' keyword='@Notgo'/><button title='티르코네일에 돌아간다' keyword='@gotir'/>
variable.moongirl.5	여기는 정말로 이상하겠지? <br/>저런 동물 끊어 처음 보았어요~. <br/><username/>씨도 즐겨 가 주세요! <p/>그렇지만 언제까지나 여기에 있을 수 없겠지요. <br/>내가 또 티르코네일에 보내 주기 때문에<br/>돌아갈 때는 나에게 말해 주세요! <button title='돌아가지 않는다' keyword='@Notgo'/><button title='티르코네일에 돌아간다' keyword='@gotir'/>
variable.moongirl.6	<npcportrait name='NONE'/><title name='NONE'/>에서는, 티르코네일에 보내 드립니다!
